,tweetid,Label
0,1081524597713846272,20
1,1146246401778581504,20
2,1081169699591860229,20
3,1081165946700685313,20
4,1121228261143433217,"3,8"
5,1074464199193972736,"3,8,9"
6,1077908213289218049,20
7,980642992410120192,"3,8,7,9"
8,1076088735664500737,20
9,818840991180451848,20
10,1078991640616886272,20
11,1067215069715488772,20
12,1084427451407712259,20
13,1083529214261784577,20
14,1070702028123443200,20
15,1106346339959357440,20
16,1095851240892690434,"3,8,9, 12,4"
17,1095473766665093120,20
18,1071403379874643969,20
19,1089859500062982144,20
20,1051999361054343168,20
21,1115768231489196032,20
22,1107794296160190465,20
23,1075916249996001280,"3,8,9"
24,1085514716049481733,20
25,1027401089014845440,20
26,1020145757016317952,20
27,1088230881146195968,20
28,818841000244346880,20
29,1088417450943791104,20
30,1024490657618882560,20
31,1145596641845497856,20
32,1105983326035144705,20
33,1146771007178338304,"3,4,5,7,12"
34,1109972055112454144,20
35,1079354113639489536,20
36,1000569032133636101,20
37,979562524835119109,20
38,1116131334986973184,20
39,1069977265537044480,20
40,1075368972214661120,20
41,1145603291235012608,"3,4,7,8,9,13"
42,1115044371986911233,20
43,1099677522420060160,20
44,1122892537696358401,20
45,962882777237499904,20
46,1091848902578364416,20
47,1069965898293874690,20
48,1084423666929147904,20
49,1073563425752666114,20
50,1007255890943045632,20
51,1097286514856275968,20
52,973121263399944192,20
53,1098962214524833792,20
54,1086960378225995776,20
55,1072483739198988289,20
56,1075726376479715328,20
57,1145888798389104640,20
58,1106346280031117313,20
59,1075009133462675456,20
60,1107433472853839872,20
61,1021242789672071169,20
62,1022357654650281986,20
63,1098925650696581120,20
64,1087692697123647488,20
65,1054632026551119872,20
66,1107433413361819648,20
67,1010135208958427137,20
68,1080437699474001920,20
69,1105262384245956608,20
70,1084431236163080195,20
71,1083528583635599360,20
72,1091515262547849216,20
73,1021591667403452416,20
74,1077368529802780677,"3,8,9,7"
75,1043756100036648960,20
76,1023743118812700672,20
77,1081451106964668416,20
78,1085877026114887681,20
79,999528065247076352,10
80,983886778577727489,20
81,1082815247864348672,12
82,922991770857701376,20
83,1010135799952625666,20
84,1098962157591384065,20
85,927708858545405952,20
86,1035181281158414337,20
87,1077402454986153985,20
88,922990258135769088,20
89,1020145673583276032,20
90,1092600236038451202,20
91,1074646764429434880,20
92,1115044279368310785,20
93,1028457753822425088,20
94,1033167184187416576,20
95,1117271396600516608,20
96,1119605562000297986,20
97,922696107074965504,20
98,1077175956551413761,20
99,1115044195780124673,20
100,1084793605003321344,20
101,1085152316125339651,20
102,1086243164032094208,20
103,927367907935272960,20
104,976648162034122752,20
105,1083163474505560064,20
106,1083900497247985664,19
107,458615478248681472,20
108,926633568918429696,20
109,1099677439456768002,20
110,1079350233216229376,20
111,1100385001240125440,20
112,927714205058207744,20
113,922672051038457856,20
114,1100384933242056704,20
115,1078632983987449857,20
116,1082093751676239872,20
117,922992335079669761,20
